org_name,org_slug,region,signer_name,signer_title,signer_email
Bay Area Community College Consortium,baccc,Bay Area,,,
Central / Mother Lode Regional Consortium,central-ml,Central / Mother Lode,,,
Inland Empire / Desert Regional Consortium,iedrc,Inland Empire / Desert,,,
LA-OC Regional Consortium,la-oc,Los Angeles / Orange County,,,
North / Far North Regional Consortium,north-fn,North / Far North,,,
Orange County Regional Consortium,ocrc,Orange County,,,
San Diego / Imperial Regional Consortium,sdicc,San Diego / Imperial,,,
South Central Coast Regional Consortium,sccrc,South Central Coast,,,
